"test_ligand","auroc","aupr","aupr_corrected","pearson","rank"
"Tgfb1",0.593632048088782,0.437261668294817,0.104625685031219,0.182695216914779,1
"Adm",0.533020510899496,0.415327227489922,0.0826912442263236,0.191509593290674,2
"Fgf7",0.525918477772739,0.399146816263152,0.0665108329995532,0.134821737807082,3
"Vegfa",0.521729986921919,0.386541095553559,0.053905112289961,0.109481262061158,4
"Fgf1",0.528382940224189,0.382085220641278,0.0494492373776793,0.0935342564716272,5
"Bdnf",0.525471588581543,0.377381450436846,0.0447454671732472,0.0844785112868122,6
"Pf4",0.523874616913003,0.37543003665668,0.0427940533930813,0.097578892860662,7
"Angptl4",0.520230498434793,0.372251174134128,0.0396151908705299,0.10637417103356,8
"Hbegf",0.510494228776597,0.372027841878761,0.0393918586151625,0.0668279248683318,9
"Fgf2",0.512727579415933,0.371025600791092,0.0383896175274936,0.0848367285320193,10
"Timp1",0.527957957365895,0.370489251498316,0.0378532682347179,0.0519722107362204,11
"Ifitm6",0.5383722280274,0.367467672339586,0.0348316890759878,0.0435604024352828,12
"Sema3c",0.536207882336705,0.367265233734903,0.0346292504713042,0.0465873053408765,13
"Tgm2",0.513391341302857,0.365727079805579,0.0330910965419808,0.0430088419157844,14
"Tcn2",0.533367726275989,0.365261538774623,0.0326255555110249,0.0512986819073707,15
"Scgb1a1",0.518379413304592,0.364796032301159,0.032160049037561,0.0413672787014884,16
"Angpt1",0.52673010740675,0.364157317918229,0.0315213346546308,0.0147428952972449,17
"Col15a1",0.540802735662853,0.362564566195807,0.0299285829322088,0.0305963934684709,18
"Lpl",0.520501041646129,0.361319794852898,0.0286838115892998,0.0168734525738962,19
"Tnc",0.527973291798926,0.361318822005882,0.0286828387422836,0.0438429778237205,20
"Ncam1",0.533064323565299,0.360861632714363,0.0282256494507646,0.0327066728586582,21
"Angpt2",0.516155920515062,0.360840416183138,0.0282044329195394,0.001550376417739,22
"S100b",0.535123518858066,0.360808217719491,0.0281722344558922,0.0410423821533028,23
"Rspo3",0.520108918287188,0.359232732424415,0.0265967491608163,0.0317672977689676,24
"Mpdz",0.536527714797071,0.359216445039444,0.0265804617758461,0.0347678189043221,25
"Cxcl1",0.517526161638068,0.357675916112427,0.0250399328488285,0.0424936024340785,26
"Fgf10",0.495089695480066,0.357216041224214,0.0245800579606156,0.0797224514675275,27
"Apoc2",0.520899736904942,0.357154048485854,0.0245180652222559,0.0244062778598547,28
"Angptl2",0.517580927470322,0.357008239402372,0.0243722561387738,0.0518151543527173,29
"Hgf",0.503421769199258,0.35619482654919,0.0235588432855916,0.0429852119364832,30
"Esam",0.5174297737733,0.356071278378575,0.023435295114977,0.0257235364127754,31
"Adam17",0.519599596047221,0.35575333608978,0.0231173528261813,0.0236511359038728,32
"Col3a1",0.530493615399276,0.355183328393033,0.0225473451294346,0.0252720757261364,33
"Adam9",0.521196567715761,0.354285171286868,0.0216491880232695,0.0140661672764384,34
"Gpc6",0.515625787258838,0.354187705904213,0.0215517226406144,0.0116804750571574,35
"Sema3a",0.524122158474793,0.354045470778618,0.0214094875150198,0.0374775310451208,36
"Ccl5",0.523475921654191,0.353989820915017,0.0213538376514189,0.00511658421532545,37
"Lama4",0.526149589584853,0.352880649926592,0.0202446666629937,0.0192993494110811,38
"Bace2",0.530327127269222,0.352438322080695,0.0198023388170963,0.0271563177739536,39
"Col5a3",0.527564738690308,0.352420386057179,0.0197844027935806,0.0160525725835338,40
"Col6a1",0.520892069688426,0.351845578119365,0.0192095948557666,0.0224659607242044,41
"Jam2",0.505064744166891,0.351656659743747,0.0190206764801485,0.016214583828432,42
"Col6a3",0.517804372065921,0.351471008263135,0.0188350249995363,0.014158156849441,43
"Sirpa",0.512108725511458,0.351347289943048,0.0187113066794495,0.0100559587115178,44
"Mmp14",0.514706816593609,0.351223554869252,0.0185875716056533,0.0249611547566551,45
"Mif",0.508757056577486,0.351208855606992,0.0185728723433936,0.0345603054627335,46
"Cxcl12",0.519532781731871,0.350696136963611,0.018060153700013,0.0071832424041607,47
"Crlf1",0.509145893986492,0.350600334368841,0.0179643511052429,0.0113672654459353,48
"Col13a1",0.514819634208053,0.350490654768126,0.0178546715045281,0.0159064288929862,49
"Npnt",0.510115249217396,0.349893511990381,0.0172575287267823,0.0143841941827622,50
"Col4a2",0.518365174188206,0.349375093511778,0.0167391102481796,0.00249134794690286,51
"Gpc3",0.515637835741934,0.34892139257847,0.0162854093148717,0.00571013953825772,52
"Icam1",0.51829288328963,0.348574480988305,0.0159384977247067,0.00892542454431194,53
"Nampt",0.509954237670568,0.347989569525571,0.0153535862619725,0.0116499628935178,54
"Hspg2",0.505206040014107,0.347476964066432,0.0148409808028341,0.00201369118512514,55
"Cd44",0.515728747023477,0.347410351808998,0.0147743685454001,-0.00430094839992786,56
"Lamb2",0.511219328395646,0.347292249440521,0.0146562661769225,0.00693319229965273,57
"Calm1",0.516224925463702,0.347256367748486,0.0146203844848878,0.00839964659304027,58
"Gm5150",0.503358240833843,0.347198201965777,0.014562218702179,0.000535391334327729,59
"Gm9733",0.503358240833843,0.347198201965777,0.014562218702179,0.000535391334327735,60
"Sirpb1b",0.503358240833843,0.347198201965777,0.014562218702179,0.000535391334327719,61
"Sirpb1c",0.503358240833843,0.347198201965777,0.014562218702179,0.000535391334327718,62
"Col28a1",0.508051672658049,0.347189632835033,0.014553649571435,0.00238978892655773,63
"Fn1",0.509413151247894,0.347038489314048,0.0144025060504494,0.00523928302669944,64
"Vcan",0.509948761087343,0.346899716496071,0.0142637332324728,0.000170993237126437,65
"Apoe",0.512531517736462,0.346883055554709,0.0142470722911107,-0.00578088154487379,66
"Il16",0.505893898867223,0.346831385048988,0.0141954017853896,0.00306298937197366,67
"Col7a1",0.516772583786247,0.346830440899632,0.0141944576360332,0.00644846987436546,68
"Sema3b",0.501083268161993,0.346777598810846,0.0141416155472475,0.0323985595891832,69
"Lama2",0.506172109295076,0.346755411868463,0.0141194286048646,-0.00616243012647829,70
"Ptprc",0.499348286596172,0.3467467855488,0.0141108022852019,0.00168878639033904,71
"Itgam",0.509141512719912,0.346338778512491,0.0137027952488927,0.00688202084452439,72
"Calm3",0.516974122048943,0.346225067149454,0.0135890838858556,0.00447351149663957,73
"Ltf",0.50110846044483,0.346073435535741,0.0134374522721427,0.0166006620114228,74
"Ccl22",0.509350718199124,0.345945424602586,0.0133094413389873,0.00270601747563514,75
"Col6a2",0.516146062665256,0.345886736761418,0.0132507534978197,0.00434643456202853,76
"Adam12",0.496763339313762,0.345752864173223,0.0131168809096244,0.0078779083530513,77
"Sirpb1a",0.49710507810703,0.345682129266031,0.0130461460024326,-0.00103207240495493,78
"Calm2",0.518702531714893,0.345663983601528,0.0130280003379297,0.0034853930006585,79
"Adam10",0.502150106574309,0.345651229197308,0.0130152459337092,0.0148322743277928,80
"Alcam",0.494486176008622,0.345349600902622,0.012713617639024,0.00703953780175252,81
"Jam3",0.502762388578914,0.345055452597632,0.0124194693340338,-0.00129869631370785,82
"Col1a2",0.513775797445283,0.345003100891265,0.0123671176276665,0.00324253333084354,83
"Furin",0.508880827358381,0.344894511595263,0.0122585283316649,0.0148768854419662,84
"Lcn2",0.496750195514021,0.344621017661411,0.0119850343978122,0.00879495056088052,85
"Col5a1",0.514119726871842,0.344476339544015,0.0118403562804164,-0.00646083813674961,86
"Col18a1",0.49796380635678,0.344433035557637,0.0117970522940383,0.0114941508725947,87
"Col12a1",0.515749558039734,0.344238668327044,0.0116026850634455,-0.0149555122606005,88
"Tgfbi",0.505938806849672,0.34420605431551,0.011570071051912,-0.0118884325730336,89
"Col16a1",0.508688051628845,0.344087207401549,0.0114512241379502,-0.00395070523542027,90
"Col27a1",0.512246735408739,0.344032193086302,0.0113962098227041,-0.0010207837062275,91
"Mdk",0.505690169971237,0.343777115383435,0.0111411321198368,-0.0196939266464065,92
"Tnn",0.51096411961734,0.34280297176926,0.0101669885056617,-0.00198193594653649,93
"S100a9",0.503836894207747,0.34278855576592,0.0101525725023218,0.00559234445360433,94
"Fbln1",0.50609543712992,0.342668396012876,0.0100324127492773,-0.00942132305989941,95
"S100a8",0.510566519675173,0.342483267964295,0.00984728470069679,0.00122809683243367,96
"Ctsd",0.510518325742789,0.342305110389633,0.0096691271260349,0.00302770518404882,97
"Thbs2",0.515676171824513,0.342127211909382,0.00949122864578372,-0.000231417689555211,98
"Ptn",0.494996593565234,0.341704408851986,0.00906842558838733,-0.0059150727104142,99
"Ccl11",0.510364981412476,0.341619046965832,0.0089830637022334,0.00123502631728998,100
"Dcn",0.501211420209469,0.341118233860155,0.00848225059655683,0.00228350927000905,101
"Col14a1",0.506809583582518,0.340857685221805,0.00822170195820687,-0.00606319211913237,102
"Fbn1",0.499152224916701,0.34045407874195,0.00781809547835172,-0.0227051930361765,103
"Agrn",0.498436983147458,0.340410728952818,0.00777474568921993,-0.00822516712648783,104
"Psen1",0.500202633579342,0.340348160473455,0.00771217720985662,-0.00379825717524806,105
"Dusp18",0.500153344330313,0.339985552972191,0.00734956970859224,-0.0107531992858141,106
"Siglec1",0.493948375535883,0.339965161115671,0.00732917785207227,-0.00261341709553396,107
"Lgals3bp",0.500154439646958,0.339254242643967,0.00661825938036908,-0.0126546872897111,108
"Il18",0.500037240765933,0.339147042729839,0.00651105946624059,0.000380818830985296,109
"Grn",0.491332759387411,0.339144619689025,0.00650863642542665,0.000955032914292491,110
"Col8a1",0.499966045184003,0.339068039079895,0.00643205581629686,-0.0182517147493234,111
"Pgf",0.491047977059688,0.338637620193829,0.00600163693023087,0.0118462863784274,112
"Sema7a",0.496948447826782,0.338366127218347,0.00573014395474891,-0.0177319633069022,113
"Itgb2",0.503965046255222,0.338313615803992,0.00567763254039383,-0.0115608722574377,114
"Lum",0.500230016495469,0.338288549444189,0.00565256618059062,-0.0178945492010019,115
"Col1a1",0.502552087783057,0.338228454194639,0.00559247093104082,-0.0269781933012308,116
"Fam3c",0.500612282004605,0.338214632764977,0.0055786495013786,-0.00975733417049251,117
"Col4a5",0.498792961057112,0.338170507578984,0.00553452431538581,-0.0164049399417573,118
"H2-K1",0.495777554333182,0.338099983076129,0.00546399981253087,-0.0139181490248312,119
"Lgals1",0.50782822806245,0.338027081485348,0.00539109822174966,-0.0401192877186392,120
"H2-Q4",0.495611066203129,0.337965095070465,0.00532911180686629,-0.0142527141673916,121
"H2-Q6",0.495611066203129,0.337965095070465,0.00532911180686629,-0.0142527141673916,122
"H2-Q7",0.495611066203129,0.337965095070465,0.00532911180686629,-0.0142527141673916,123
"H2-D1",0.495597922403388,0.33796130524788,0.00532532198428204,-0.0142438074270159,124
"Col4a1",0.502357121420231,0.337929281153147,0.00529329788954858,-0.0325781222171929,125
"Lgals3",0.487632779760301,0.337402052717849,0.00476606945425068,-0.0273904180573271,126
"Spp1",0.503714218743496,0.337243266238492,0.00460728297489349,-0.0290269059096691,127
"H2-DMa",0.502196109873403,0.336999145327262,0.00436316206366416,-0.00860984763090653,128
"Psap",0.487063215104855,0.336619576438329,0.00398359317473024,-0.0159113788708719,129
"Copa",0.495823557632276,0.336396462194359,0.00376047893076104,-0.0177517385822031,130
"Lama5",0.502887254676454,0.336377174032997,0.00374119076939844,-0.0127889837074476,131
"Vcam1",0.49248612781469,0.336306537540324,0.00367055427672525,-0.0174717847969998,132
"Vtn",0.49463185312242,0.33608565555434,0.00344967229074133,-0.0189325285642028,133
"Col5a2",0.504910304519934,0.335853524528668,0.00321754126506979,-0.0333716350333548,134
"Lamb1",0.492498176297786,0.335834838906364,0.00319885564276562,-0.017335350453292,135
"Lamc2",0.49753115628197,0.335778929396719,0.00314294613312083,-0.0216899768039778,136
"Tnxb",0.501027407013094,0.335604548041388,0.00296856477778951,-0.0124476044125429,137
"C4b",0.4910676927593,0.33552404020792,0.00288805694432143,-0.0155702944595243,138
"Clu",0.494697572121125,0.335416775821835,0.0027807925582371,-0.0171024310955168,139
"Serpine1",0.491362332936829,0.335056121557853,0.00242013829425441,0.00378666166509243,140
"Lrig1",0.490835485630541,0.335005105746808,0.00236912248320975,-0.0244414796091308,141
"Sema5a",0.492165200037679,0.334846920758767,0.00221093749516837,-0.0109471695355371,142
"Sema4a",0.489299851694126,0.334837683079252,0.00220169981565355,0.00590810926498211,143
"Cxcl10",0.496465413186298,0.334703151229424,0.00206716796582584,-0.0157952177332258,144
"Timp2",0.490857391963443,0.334666210145554,0.00203022688195592,0.000320242260217557,145
"Has2",0.493924278569691,0.333518640787794,0.000882657524195973,-0.0166086753143392,146
"Timp3",0.485357807088451,0.333442954295541,0.000806971031942882,-0.0238695217895323,147
"Spon2",0.51145482147434,0.333369513251212,0.000733529987613224,-0.000150845233592738,148
"App",0.488358974695995,0.333230799623148,0.000594816359549222,-0.0139917147676486,149
"Itgal",0.494166343548257,0.333208608689796,0.000572625426197459,-0.023179099522314,150
"Mmp2",0.489444433491278,0.33276837525691,0.000132391993311776,-0.0279750245703851,151
"F11r",0.483152934681887,0.332448857712972,-0.000187125550626832,-0.026954107661079,152
"Col11a1",0.50184451323033,0.332283329400587,-0.000352653863011088,-0.0452794289880817,153
"Fap",0.500583803771832,0.33227924974264,-0.000356733520958052,-0.00903207056687109,154
"Cdh1",0.484820006615712,0.332257057958109,-0.000378925305489441,-0.0272168667542444,155
"Cd9",0.487902227654993,0.332195299952166,-0.000440683311431878,-0.0212272670720731,156
"Thbs1",0.485175984525366,0.331872288135976,-0.000763695127622255,-0.0318516033767333,157
"Tfpi",0.483689639837981,0.331767028775653,-0.000868954487945495,-0.0292521589604551,158
"H2-DMb1",0.489330520560189,0.33135945188887,-0.00127653137472805,-0.0207202970966265,159
"H2-DMb2",0.489330520560189,0.33135945188887,-0.00127653137472805,-0.0207202970966265,160
"Sdc2",0.486650280729656,0.331249971139232,-0.00138601212436645,-0.0243655128304555,161
"Col4a6",0.479701591933212,0.330888794476568,-0.00174718878703067,-0.0185175629351908,162
"Adam15",0.483102550116213,0.329350081334557,-0.00328590192904127,-0.0290715721862096,163
"Sema3e",0.478770572784886,0.329235136488634,-0.00340084677496388,-0.0262895358307545,164
"Lamc1",0.487889083855252,0.328733420574657,-0.00390256268894096,-0.0278255192450465,165
"Trf",0.480406975852649,0.328528234897718,-0.00410774836588074,-0.00211328193588626,166
"Nid1",0.480624943865022,0.327803420060706,-0.00483256320289244,-0.0338889189224954,167
"Spon1",0.478663231753668,0.327225783339783,-0.00541019992381508,-0.0321218712804164,168
"F13a1",0.479916273995649,0.326160458036331,-0.00647552522726708,-0.0337165230421585,169
"Pcdha2",0.47204313795075,0.325623029857025,-0.00701295340657321,-0.0422384698338188,170
"Sema3d",0.480236106456015,0.325524252745269,-0.00711173051832931,-0.0348051015671494,171
"Clec11a",0.47641235604801,0.325257548958641,-0.00737843430495716,-0.0345213971829483,172
"Vegfb",0.470469167931757,0.323863666280977,-0.0087723169826216,-0.0431733697308868,173
"Slit2",0.470835003691217,0.323445532051965,-0.00919045121163303,-0.0419237929490963,174
"Ptprm",0.47031253765151,0.321719599636859,-0.0109163836267398,-0.0469943711529155,175
"Bace1",0.467200743062812,0.318231258438075,-0.0144047248255229,-0.0500422895246619,176
"Plau",0.458214765306503,0.317289661689385,-0.0153463215742129,-0.0429926052598164,177
"Epcam",0.469428617118923,0.316501826219118,-0.01613415704448,-0.0359926127398695,178
"Cadm1",0.431575569181295,0.302218293846606,-0.0304176894169921,-0.0301930045452108,179
"Pam",0.44130526693962,0.300558370313465,-0.0320776129501328,-0.0918604547283731,180
